ìÂ;ìÀ
1.3984E-02;2.7968E-06
1.4129E-02;2.8258E-06
1.4266E-02;2.8532E-06
1.4274E-02;2.8549E-06
1.4314E-02;2.8629E-06
1.4350E-02;2.8700E-06
1.4390E-02;2.8780E-06
1.4396E-02;2.8791E-06
1.4398E-02;2.8797E-06
1.4405E-02;2.8810E-06
1.4410E-02;2.8821E-06
1.4411E-02;2.8823E-06
1.4414E-02;2.8828E-06
1.4423E-02;2.8847E-06
1.4465E-02;2.8931E-06
1.4485E-02;2.8970E-06
1.4498E-02;2.8996E-06
1.4511E-02;2.9022E-06
1.4511E-02;2.9022E-06
1.4523E-02;2.9046E-06
1.4572E-02;2.9145E-06
1.4585E-02;2.9169E-06
1.4600E-02;2.9201E-06
1.4635E-02;2.9270E-06
1.4649E-02;2.9298E-06
1.4651E-02;2.9301E-06
1.4664E-02;2.9327E-06
1.4668E-02;2.9337E-06
1.4673E-02;2.9346E-06
1.4681E-02;2.9361E-06
1.4692E-02;2.9383E-06
1.4704E-02;2.9408E-06
1.4708E-02;2.9415E-06
1.4712E-02;2.9424E-06
1.4714E-02;2.9428E-06
1.4718E-02;2.9436E-06
1.4719E-02;2.9437E-06
1.4731E-02;2.9462E-06
1.4732E-02;2.9463E-06
1.4732E-02;2.9463E-06
1.4733E-02;2.9465E-06
1.4733E-02;2.9465E-06
1.4736E-02;2.9473E-06
1.4736E-02;2.9473E-06
1.4749E-02;2.9499E-06
1.4753E-02;2.9506E-06
1.4758E-02;2.9516E-06
1.4769E-02;2.9538E-06
1.4772E-02;2.9544E-06
1.4786E-02;2.9571E-06
1.4804E-02;2.9609E-06
1.4815E-02;2.9629E-06
1.4830E-02;2.9661E-06
1.4843E-02;2.9685E-06
1.4857E-02;2.9713E-06
1.4859E-02;2.9719E-06
1.4863E-02;2.9726E-06
1.4884E-02;2.9767E-06
1.4884E-02;2.9769E-06
1.4884E-02;2.9769E-06
1.4890E-02;2.9780E-06
1.4892E-02;2.9784E-06
1.4899E-02;2.9799E-06
1.4906E-02;2.9812E-06
1.4909E-02;2.9817E-06
1.4918E-02;2.9836E-06
1.4921E-02;2.9842E-06
1.4925E-02;2.9849E-06
1.4929E-02;2.9858E-06
1.4931E-02;2.9862E-06
1.4934E-02;2.9868E-06
1.4938E-02;2.9877E-06
1.4942E-02;2.9884E-06
1.4947E-02;2.9894E-06
1.4950E-02;2.9899E-06
1.4952E-02;2.9905E-06
1.4954E-02;2.9909E-06
1.4966E-02;2.9933E-06
1.4971E-02;2.9942E-06
1.4972E-02;2.9944E-06
1.4987E-02;2.9974E-06
1.4995E-02;2.9991E-06
1.4998E-02;2.9996E-06
1.5023E-02;3.0046E-06
1.5030E-02;3.0059E-06
1.5037E-02;3.0074E-06
1.5043E-02;3.0086E-06
1.5048E-02;3.0097E-06
1.5051E-02;3.0102E-06
1.5060E-02;3.0121E-06
1.5065E-02;3.0130E-06
1.5082E-02;3.0164E-06
1.5084E-02;3.0168E-06
1.5084E-02;3.0168E-06
1.5087E-02;3.0173E-06
1.5088E-02;3.0177E-06
1.5101E-02;3.0201E-06
1.5108E-02;3.0216E-06
1.5110E-02;3.0220E-06
1.5133E-02;3.0266E-06
1.5135E-02;3.0270E-06
1.5138E-02;3.0276E-06
1.5150E-02;3.0300E-06
1.5156E-02;3.0313E-06
1.5167E-02;3.0333E-06
1.5169E-02;3.0337E-06
1.5173E-02;3.0346E-06
1.5188E-02;3.0376E-06
1.5193E-02;3.0385E-06
1.5207E-02;3.0413E-06
1.5212E-02;3.0425E-06
1.5218E-02;3.0436E-06
1.5238E-02;3.0477E-06
1.5241E-02;3.0482E-06
1.5245E-02;3.0490E-06
1.5248E-02;3.0495E-06
1.5249E-02;3.0497E-06
1.5252E-02;3.0505E-06
1.5254E-02;3.0508E-06
1.5255E-02;3.0510E-06
1.5259E-02;3.0518E-06
1.5260E-02;3.0520E-06
1.5265E-02;3.0531E-06
1.5267E-02;3.0535E-06
1.5274E-02;3.0548E-06
1.5281E-02;3.0563E-06
1.5284E-02;3.0568E-06
1.5292E-02;3.0585E-06
1.5295E-02;3.0590E-06
1.5307E-02;3.0615E-06
1.5311E-02;3.0622E-06
1.5321E-02;3.0643E-06
1.5330E-02;3.0659E-06
1.5331E-02;3.0661E-06
1.5331E-02;3.0661E-06
1.5331E-02;3.0661E-06
1.5356E-02;3.0712E-06
1.5373E-02;3.0747E-06
1.5373E-02;3.0747E-06
1.5383E-02;3.0766E-06
1.5384E-02;3.0767E-06
1.5394E-02;3.0788E-06
1.5396E-02;3.0792E-06
1.5397E-02;3.0793E-06
1.5403E-02;3.0807E-06
1.5410E-02;3.0820E-06
1.5416E-02;3.0833E-06
1.5417E-02;3.0834E-06
1.5422E-02;3.0844E-06
1.5441E-02;3.0881E-06
1.5447E-02;3.0894E-06
1.5448E-02;3.0896E-06
1.5456E-02;3.0913E-06
1.5471E-02;3.0943E-06
1.5482E-02;3.0965E-06
1.5499E-02;3.0998E-06
1.5503E-02;3.1006E-06
1.5505E-02;3.1010E-06
1.5506E-02;3.1011E-06
1.5522E-02;3.1045E-06
1.5522E-02;3.1045E-06
1.5524E-02;3.1049E-06
1.5534E-02;3.1067E-06
1.5544E-02;3.1088E-06
1.5553E-02;3.1106E-06
1.5563E-02;3.1125E-06
1.5591E-02;3.1183E-06
1.5604E-02;3.1209E-06
1.5632E-02;3.1265E-06
1.5638E-02;3.1276E-06
1.5640E-02;3.1280E-06
1.5649E-02;3.1298E-06
1.5649E-02;3.1298E-06
1.5650E-02;3.1300E-06
1.5655E-02;3.1309E-06
1.5666E-02;3.1332E-06
1.5672E-02;3.1345E-06
1.5690E-02;3.1380E-06
1.5694E-02;3.1388E-06
1.5720E-02;3.1440E-06
1.5738E-02;3.1475E-06
1.5742E-02;3.1485E-06
1.5759E-02;3.1518E-06
1.5768E-02;3.1537E-06
1.5788E-02;3.1576E-06
1.5796E-02;3.1593E-06
1.5797E-02;3.1594E-06
1.5815E-02;3.1630E-06
1.5823E-02;3.1647E-06
1.5839E-02;3.1678E-06
1.5841E-02;3.1682E-06
1.5844E-02;3.1688E-06
1.5848E-02;3.1697E-06
1.5938E-02;3.1876E-06
1.5939E-02;3.1878E-06
1.5943E-02;3.1885E-06
1.5960E-02;3.1920E-06
1.5997E-02;3.1993E-06
1.6035E-02;3.2069E-06
1.6065E-02;3.2129E-06
